title,price,availability,rating,numeric_rating
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,Two,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,Three,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,Five,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,Five,5
"Pop Gun War, Volume 1: Gift",18.97,In stock,One,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,Two,2
Patience,10.16,In stock,Three,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,Four,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,One,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,One,1
On a Midnight Clear,14.07,In stock,Three,3
Obsidian (Lux #1),14.86,In stock,Two,2
My Paris Kitchen: Recipes and Stories,33.37,In stock,Two,2
Masks and Shadows,56.4,In stock,Two,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,Four,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,Two,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,Three,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,Two,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,One,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,Two,2
Join,35.67,In stock,Five,5
In the Country We Love: My Family Divided,22.0,In stock,Four,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,Five,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,Two,2
I am a Hero Omnibus Volume 1,54.63,In stock,Three,3
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,One,1
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,One,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,Two,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,Three,3
First and First (Five Boroughs #3),15.97,In stock,Four,4
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,One,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,Two,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,Two,2
Danganronpa Volume 1,51.99,In stock,Four,4
Crown of Midnight (Throne of Glass #2),43.29,In stock,Three,3
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,Four,4
Camp Midnight,17.08,In stock,Four,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,Five,5
Burning,28.81,In stock,Three,3
Bossypants,49.46,In stock,Two,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,Two,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,Two,2
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,One,1
A World of Flavor: Your Gluten Free Passport,42.95,In stock,One,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,Five,5
A Murder in Time,16.64,In stock,One,1
A Flight of Arrows (The Pathfinders #2),55.53,In stock,Five,5
A Fierce and Subtle Poison,28.13,In stock,Four,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,One,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,In stock,Five,5
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,Four,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,Four,4
Tuesday Nights in 1980,21.04,In stock,Two,2
Tracing Numbers on a Train,41.6,In stock,Three,3
Throne of Glass (Throne of Glass #1),35.07,In stock,Three,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,In stock,One,1
Thirteen Reasons Why,52.72,In stock,One,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,In stock,Four,4
The Wedding Dress,24.12,In stock,One,1
The Vacationers,42.15,In stock,Four,4
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,In stock,Five,5
The Stranger,17.44,In stock,Four,4
The Shadow Hero (The Shadow Hero),33.14,In stock,One,1
The Secret (The Secret #1),27.37,In stock,Four,4
The Regional Office Is Under Attack!,51.36,In stock,Five,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,Two,2
The Project,10.65,In stock,One,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,In stock,Two,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,In stock,Two,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,In stock,Five,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,Four,4
The Mistake (Off-Campus #2),43.29,In stock,Three,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,In stock,One,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,In stock,Two,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,One,1
The Kite Runner,41.82,In stock,Four,4
The House by the Lake,36.95,In stock,One,1
The Glittering Court (The Glittering Court #1),44.28,In stock,One,1
The Girl on the Train,55.02,In stock,Two,2
The Genius of Birds,17.24,In stock,One,1
The Emerald Mystery,23.15,In stock,Two,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,In stock,One,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,In stock,Three,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,In stock,Five,5
The Art of War,33.34,In stock,Five,5
The Argonauts,10.93,In stock,Two,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,In stock,Three,3
Suddenly in Love (Lake Haven #1),55.99,In stock,Two,2
Something More Than This,16.24,In stock,Four,4
Soft Apocalypse,26.12,In stock,Two,2
So You've Been Publicly Shamed,12.23,In stock,Two,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,In stock,Two,2
"Shobu Samurai, Project Aryoku (#3)",29.06,In stock,Three,3
Secrets and Lace (Fatal Hearts #1),20.27,In stock,One,1
Scarlett Epstein Hates It Here,43.55,In stock,Five,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,In stock,One,1
Redeeming Love,20.47,In stock,Five,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,In stock,One,1
Poems That Make Grown Women Cry,14.19,In stock,Four,4
"Nightingale, Sing",38.28,In stock,One,1
Night Sky with Exit Wounds,41.05,In stock,One,1
Mrs. Houdini,30.25,In stock,Five,5
Modern Romance,28.26,In stock,Five,5
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,In stock,One,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,Two,2
Little Red,13.47,In stock,Three,3
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,In stock,Five,5
Large Print Heart of the Pride,19.15,In stock,Two,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,Four,4
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,In stock,One,1
Grumbles,22.16,In stock,Two,2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,Four,4
Frostbite (Vampire Academy #2),29.99,In stock,Five,5
Follow You Home,21.36,In stock,One,1
First Steps for New Christians (Print Edition),29.0,In stock,One,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,Five,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,Four,4
Eureka Trivia 6.0,54.59,In stock,Four,4
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,Four,4
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,Five,5
Doing It Over (Most Likely To #1),35.61,In stock,Three,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,Three,3
